Approval (initials),Title,Slug,Status,Parent ID,SKU,Size,Visibility,Side,Product/Part Number,Hip Size,Upper Bar Thickness (mm),Depth (mm),Minimum Calf Size (in),Minimum Ankle Size (in),Length (in.),Length (mm),Minimum Patient Weight (kg),Maximum Patient Weight (kg),Patient Weight (kg),Build Height (inches),Build Height (mm.),Min. Distal Circumference (mm),Max Distal Circumference (mm),Min. Proximal Circumference (mm),Max Proximal Circumference (mm),Weight (oz.),Weight (g),Quantity,Width (in.),Width (mm),Height (in.),Height (mm),Weight Rating (lb.),Weight Limit (lbs.),Mount Height range (mm),Diameter (in.),Diameter (mm),Flexion,Material,Thread,Pyramid (mm),Pyramid Receiver (mm),Tube Clamp (mm),Through Hole,Plate Thickness (mm.),Socket Offset Distance (mm.),Compatible Foot,Categories,Tags,Colors,Attachments / Extras
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,AllPro with Posterior Mount,,,2051,137-PM-22-A2,22 cm,visible,,,,,,,,,,45,54,45-54 kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lower Extremity Prosthetics > Feet,Transtibial,,
,AllPro with Posterior Mount,,,2051,137-PM-22-A3,22 cm,visible,,,,,,,,,,54,63,54-63 kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lower Extremity Prosthetics > Feet,Transtibial,,
,AllPro with Posterior Mount,,,2051,137-PM-22-B4,22 cm,visible,,,,,,,,,,64,81,64-72 kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lower Extremity Prosthetics > Feet,Transtibial,,
,AllPro with Posterior Mount,,,2051,137-PM-22-C5,22 cm,visible,,,,,,,,,,82,102,82-90 kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lower Extremity Prosthetics > Feet,Transtibial,,
,AllPro with Posterior Mount,,,2051,137-PM-23-A2,23 cm,visible,,,,,,,,,,45,54,45-54 kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lower Extremity Prosthetics > Feet,Transtibial,,
,AllPro with Posterior Mount,,,2051,137-PM-23-A3,23 cm,visible,,,,,,,,,,54,63,54-63 kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lower Extremity Prosthetics > Feet,Transtibial,,
,AllPro with Posterior Mount,,,2051,137-PM-23-B4,23 cm,visible,,,,,,,,,,64,81,64-72 kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lower Extremity Prosthetics > Feet,Transtibial,,
,AllPro with Posterior Mount,,,2051,137-PM-23-C5,23 cm,visible,,,,,,,,,,82,102,82-90 kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lower Extremity Prosthetics > Feet,Transtibial,,
,AllPro with Posterior Mount,,,2051,137-PM-24-A2,24 cm,visible,,,,,,,,,,45,54,45-54 kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lower Extremity Prosthetics > Feet,Transtibial,,
,AllPro with Posterior Mount,,,2051,137-PM-24-A3,24 cm,visible,,,,,,,,,,54,63,54-63 kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lower Extremity Prosthetics > Feet,Transtibial,,
,AllPro with Posterior Mount,,,2051,137-PM-24-B4,24 cm,visible,,,,,,,,,,64,81,64-72 kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lower Extremity Prosthetics > Feet,Transtibial,,
,AllPro with Posterior Mount,,,2051,137-PM-24-C5,24 cm,visible,,,,,,,,,,82,102,82-90 kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lower Extremity Prosthetics > Feet,Transtibial,,
,AllPro with Posterior Mount,,,2051,137-PM-25-B4,25 cm,visible,,,,,,,,,,45,72,45-54 kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lower Extremity Prosthetics > Feet,Transtibial,,
,AllPro with Posterior Mount,,,2051,137-PM-25-C5,25 cm,visible,,,,,,,,,,73,90,73-81 kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lower Extremity Prosthetics > Feet,Transtibial,,
,AllPro with Posterior Mount,,,2051,137-PM-25-D6,25 cm,visible,,,,,,,,,,91,113,91-102 kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lower Extremity Prosthetics > Feet,Transtibial,,
,AllPro with Posterior Mount,,,2051,137-PM-25-E7,25 cm,visible,,,,,,,,,,113,136,113-125 kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lower Extremity Prosthetics > Feet,Transtibial,,
,AllPro with Posterior Mount,,,2051,137-PM-25-F9,25 cm,visible,,,,,,,,,,137,150,137-150 kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lower Extremity Prosthetics > Feet,Transtibial,,
,AllPro with Posterior Mount,,,2051,137-PM-26-B4,26 cm,visible,,,,,,,,,,45,72,45-54 kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lower Extremity Prosthetics > Feet,Transtibial,,
,AllPro with Posterior Mount,,,2051,137-PM-26-C5,26 cm,visible,,,,,,,,,,73,90,73-81 kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lower Extremity Prosthetics > Feet,Transtibial,,
,AllPro with Posterior Mount,,,2051,137-PM-26-D6,26 cm,visible,,,,,,,,,,91,113,91-102 kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lower Extremity Prosthetics > Feet,Transtibial,,
,AllPro with Posterior Mount,,,2051,137-PM-26-E7,26 cm,visible,,,,,,,,,,113,136,113-125 kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lower Extremity Prosthetics > Feet,Transtibial,,
,AllPro with Posterior Mount,,,2051,137-PM-27-C6,27 cm,visible,,,,,,,,,,54,81,54-63 kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lower Extremity Prosthetics > Feet,Transtibial,,
,AllPro with Posterior Mount,,,2051,137-PM-27-D7,27 cm,visible,,,,,,,,,,82,102,82-90 kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lower Extremity Prosthetics > Feet,Transtibial,,
